,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link
0,01003,Advanced Engineering Mathematics 1,Repetitionskursus i Matematik1-forårspensum,0,Bachelor,Campus Lyngby Underviserne udsender oplysninger om hvor øvelserneforegår,,Karsten Schmidt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01003
1,01005,Advanced Engineering Mathematics 1,Matematik 1,20,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Byggeteknologi_Naturvidenskabeligt grundfag_Naturvidenskabeligt grundfag, Bioteknologi_Naturvidenskabeligt grundfag, Bygningsdesign_Naturvidenskabeligt grundfag, Cyberteknologi_Naturvidenskabeligt grundfag, Data Science og Management_Naturvidenskabeligt grundfag, Design og Innovation_Naturvidenskabeligt grundfag, Elektroteknologi_Naturvidenskabeligt grundfag, Fysik og Nanoteknologi_Naturvidenskabeligt grundfag, Geofysik og Rumteknologi_Naturvidenskabeligt grundfag, Kvantitativ Biologi og Sygdomsmodellering_Naturvidenskabeligt grundfag, Matematik og Teknologi_Naturvidenskabeligt grundfag, Medicin og Teknologi_Naturvidenskabeligt grundfag, Miljøteknologi_Naturvidenskabeligt grundfag, Produktion og Konstruktion_Naturvidenskabeligt grundfag, Softwareteknologi_Naturvidenskabeligt grundfag, Teknisk Biomedicin_Bachelor i Kunstig Intelligens og Data_Naturvidenskabelige Grundfag",Campus Lyngby,,Karsten Schmidt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01005
2,01006,Advanced Engineering Mathematics 1,Matematik 1,20,Bachelor,Campus Lyngby Undervisningen starter på onsdage kl. 10:00 og fredage kl.13.00,,Karsten Schmidt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01006
3,01015,Advanced Engineering Mathematics 1,Matematik 1,"17,5","Bachelor_Naturvidenskabeligt grundfag, Kemi og Teknologi",Campus Lyngby,,Karsten Schmidt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01015
4,01016,Advanced Engineering Mathematics 1,Matematik 1 uden temaøvelser,"17,5",Bachelor,Campus Lyngby,,Karsten Schmidt,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01016
5,01017,Discrete Mathematics,Diskret matematik,5,"Bachelor_Kurset udbydes som enkeltfag_Bachelor i Kunstig Intelligens og Data_Naturvidenskabeligt grundfag, Bioteknologi_Naturvidenskabeligt grundfag, Byggeteknologi_Naturvidenskabeligt grundfag, Cyberteknologi_Naturvidenskabeligt grundfag, Data Science og Management_Naturvidenskabeligt grundfag, Softwareteknologi_Teknologisk linjefag, Matematik og Teknologi_Tilvalgskurser, Diplomingeniørretning Mobilitet, Transport og Logistik_Tilvalgskurser, Diplomingeniørretning, Proces og Innovation_Tilvalgskurser, Diplomingeniørretning, Produktion_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,,Christian Henriksen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01017
6,01018,Discrete mathematics 2: algebra,Diskret matematik 2: algebra,5,"Bachelor_Kandidat_Kurset udbydes som enkeltfag_Teknologisk linjefag, Matematik og Teknologi_Tilvalgskurser, Diplomingeniørretning, Produktion",Campus Lyngby,"01017,01019,01005,01006,01015,01016, /,.­,/,/,/, , Følgende emner fra Diskret Mat 1   (01017) bliver brugt: inductionsprincippet, Euclids udvidede   algoritme (både på tal og på polynomier), moduloregning.   Følgende emner fra Mat 1 (01005) bliver brugt: lineær algebra,   blandt andet matriksregning, lineære afbildninger, nulrum og   billedmængde af en lineær afbildning.",Maria Montanucci,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01018
7,01019,Discrete Mathematics,Diskret matematik,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, General Engineering_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,,David Earl Roberson,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01019
8,01020,Advanced Linear Algebra,Videregående Lineær Algebra,5,"Bachelor_Teknologisk linjefag, Matematik og Teknologi",Campus Lyngby,"01005,  , første halvdel af 01005, specieltfølgende emner: Matricer og Matrixalgebra, Determinanter,Vektorrum, Lineære afbildninger, Egenværdier og Egenvektorer,Similaritet og Diagonalisering og SymmetriskeMatricer.",Jakob Lemvig,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01020
9,01025,Advanced Mathematics 2 for Mathematics and Technology,Matematik 2 for Matematik og Teknologi,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Fysik og Nanoteknologi_Teknologisk linjefag, Matematik og Teknologi",Campus Lyngby,"01005,  , Lineær algebra, vektorrum,egenværdiproblemer, lineære differentialligningssystemer, kompleksetal og den komplekse eksponentialfunktion, Taylorudvikling,grænseværdier, kontinuitet,differentiabilitet",Peter Røgen,01Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01025
