,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link,arktisk byggeri og infrastruktur (dip),byggeri og infrastruktur (dip),bygningsdesign (dip),eksport og teknologi (dip),elektrisk energiteknologi (dip),elektroteknologi (dip),fiskeriteknologi (dip),fødevaresikkerhed og -kvalitet (dip),it-elektronik (dip),it og økonomi (dip),kemi- og bioteknik (dip),kemiteknik og international business (dip),maskinteknik (dip),"mobilitet, transport og logistik (dip)",proces og innovation (dip),produktion (dip),softwareteknologi (dip),sundhedsteknologi (dip),byggeteknologi (bac),bygningsdesign (bac),bæredygtigt energidesign (bac),cyberteknologi (bac),data science og management (bac),design og innovation (bac),elektroteknologi (bac),fysik og nanoteknologi (bac),fødevarer og ernæring (uddannelsessamarbejde) (bac),general engineering (bac),geofysik og rumteknologi (bac),kemi og teknologi (bac),kunstig intelligens og data (bac),life science og teknologi (bac),matematik og teknologi (bac),medicin og teknologi (bac),miljøteknologi (bac),produktion og konstruktion (bac),softwareteknologi (bac),akvatisk videnskab og teknologi (kan),anvendt kemi (kan),autonome systemer (kan),avancerede materialer og sundhedsteknologi (kan),bioinformatik og systembiologi (kan),bioteknologi (kan),business analytics (kan),byggeteknologi (kan),bygningsdesign (kan),bæredygtig energi (kan),design og innovation (kan),elektroteknologi (kan),farmateknologi (kan),fødevareteknologi (kan),fotonik (kan),fysik og nanoteknologi (kan),geofysik og rumteknologi (kan),industriel økonomi og teknologiledelse (kan),informationsteknologi (kan),kemisk og biokemisk teknologi (kan),kommunikationsteknologier og systemdesign (kan),konstruktion og mekanik (kan),kvantitativ biologi og sygdomsmodellering (kan),lyd og akustisk teknologi (kan),marin ingeniørvidenskab (kan),matematisk modellering og computing (kan),materiale- og procesteknologi (kan),medicin og teknologi (kan),menneskeorienteret kunstig intelligens (kan),miljøteknologi (kan),olie- og gasteknologi (kan),teknologisk entreprenørskab (kan),transport og logistik (kan),vindenergi (kan)
0,01003,Advanced Engineering Mathematics 1,Repetitionskursus i Matematik1-forårspensum,0,Bachelor,Campus Lyngby,,Karsten Schmidt,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01005,Advanced Engineering Mathematics 1,Matematik 1,20,Bachelor,Campus Lyngby,,Ulrik Engelund Pedersen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01005,,,,,,,,,,,,,,,,,,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,,naturvidenskabeligt grundfag,,any,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01006,Advanced Engineering Mathematics 1,Matematik 1,20,Bachelor,Campus Lyngby,,Ulrik Engelund Pedersen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01015,Advanced Engineering Mathematics 1,Matematik 1,17.5,Bachelor,Campus Lyngby,,Ulrik Engelund Pedersen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturvidenskabeligt grundfag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01016,Advanced Engineering Mathematics 1,Matematik 1 uden temaøvelser,17.5,Bachelor,Campus Lyngby,,Ulrik Engelund Pedersen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01017,Discrete Mathematics,Diskret matematik,5,Bachelor,Campus Lyngby,,Christian Henriksen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01017,,,,,,,,,,,,,,tilvalgskurser,tilvalgskurser,tilvalgskurser,,tilvalgskurser,naturvidenskabeligt grundfag,,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,,,,,,,any,,teknologisk linjefag,,,,naturvidenskabeligt grundfag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01018,Discrete mathematics 2: algebra,Diskret matematik 2: algebra,5,"Bachelor, Kandidat",Campus Lyngby,"01019,01016,01015,01005,01017,01006",Maria Montanucci,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01018,,,,,,,,,,,,,,,,tilvalgskurser,,,,,,,,,,,,,,,,,teknologisk linjefag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01019,Discrete Mathematics,Diskret matematik,5,Bachelor,Campus Lyngby,,David Earl Roberson,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01019,,,,,,,,,,,,,,,,,,tilvalgskurser,,,,,,,,,,teknologisk linjefag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01020,Advanced Linear Algebra,Videregående Lineær Algebra,5,Bachelor,Campus Lyngby,01005,Jakob Lemvig,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk linjefag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01025,Advanced Mathematics 2 for Mathematics and Technology,Matematik 2 for Matematik og Teknologi,5,Bachelor,Campus Lyngby,01005,Peter Røgen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01025,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk linjefag,,,,,,,teknologisk linjefag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01034,Advanced Engineering Mathematics 2,Matematik 2,5,Bachelor,Campus Lyngby,"01016,01901,01015,01005,01920,01006",Poul Georg Hjorth,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01034,,,,,,,,,,,,,,,,,,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,naturvidenskabeligt grundfag,,,teknologisk linjefag,teknologisk linjefag,,,naturvidenskabeligt grundfag,,,,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01035,Advanced Engineering Mathematics 2,Matematik 2,5,Bachelor,Campus Lyngby,"01016,01901,01015,01005,01920,01006",Jens Gravesen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01035,,,tilvalgskurser,tilvalgskurser,,,,,tilvalgskurser,,tilvalgskurser,tilvalgskurser,,,,,,tilvalgskurser,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,naturvidenskabeligt grundfag,,,teknologisk linjefag,teknologisk linjefag,,,naturvidenskabeligt grundfag,,,,,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,naturvidenskabeligt grundfag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
