,Course id,English title,Danish title,Point( ECTS ),Course type,Location,Recommended prerequisites,Responsible,Department,Link
0,01003,Advanced Engineering Mathematics 1,Repetitionskursus i Matematik1-forårspensum,0,BSc,Campus Lyngby See the Danish version,,Karsten Schmidt,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01003
1,01005,Advanced Engineering Mathematics 1,Matematik 1,20,"BSc_Offered as a single course_??_Bachelor in Artificiel Intelligence and Data_Basic Natural Science Courses_Basic Natural Science Courses_Basic Natural Science Courses, Biotechnology_Basic Natural Science Courses, Architectural Engineering_Basic Natural Science Courses, Cybertechnology_Basic Natural Science Courses, Data Science and Management_Basic Natural Science Courses, Design & Innovation_Basic Natural Science Courses, Electrical Engineering_Basic Natural Science Courses, Physics and Nanotechnology_Basic Natural Science Courses, Earth and Space Physics and Engineering_Basic Natural Science Courses, Quantitative Biology and Disease Modelling_Basic Natural Science Courses, Mathematics and Technology_Basic Natural Science Courses, Medicine and Technology_Basic Natural Science Courses, Environmental Engineering_Basic Natural Science Courses, Mechanical Engineering_Basic Natural Science Courses, Software Technology_Basic Natural Science Courses, Human Life Science Engineering_Natural Science Course, Life Science and Technology",Campus Lyngby,,Ulrik Engelund Pedersen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01005
2,01006,Advanced Engineering Mathematics 1,Matematik 1,20,BSc,Campus Lyngby The lecture starts at 10:00 on Wednesdays and 13:00 onFridays,,Ulrik Engelund Pedersen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01006
3,01015,Advanced Engineering Mathematics 1,Matematik 1,"17,5","BSc_Basic Natural Science Courses, Chemistry and Technology",Campus Lyngby,,Ulrik Engelund Pedersen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01015
4,01016,Advanced Engineering Mathematics 1,Matematik 1 uden temaøvelser,"17,5",BSc,Campus Lyngby,,Ulrik Engelund Pedersen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01016
5,01017,Discrete Mathematics,Diskret matematik,5,"BSc_Offered as a single course_Bachelor in Artificiel Intelligence and Data_Basic Natural Science Courses, Biotechnology_Basic Natural Science Courses, Civil Engineering_Basic Natural Science Courses, Cybertechnology_Basic Natural Science Courses, Data Science and Management_Basic Natural Science Courses, Software Technology_Technology Core Courses, Mathematics and Technology",Campus Lyngby,,Christian Henriksen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01017
6,01018,Discrete mathematics 2: algebra,Diskret matematik 2: algebra,5,"BSc_MSc_Offered as a single course_Technology Core Courses, Mathematics and Technology",Campus Lyngby,"01017,01019,01005,01006,01015,01016, /,.­,/,/,/, , The following topics from   Discrete Math 1 (01017) will be used: the induction principle,   the extended Euclidean algorithm (both for integers and for   polynomials), modular arithmetic. The following topics from Math   1 (01005) will be used: linear algebra, among others matrix   arithmetic, linear maps, kernel and image of a linear   map.",Maria Montanucci,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01018
7,01019,Discrete Mathematics,Diskret matematik,5,"BSc_Offered as a single course_Technology Core Courses, General Engineering",Campus Lyngby,,David Earl Roberson,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01019
8,01020,Advanced Linear Algebra,Videregående Lineær Algebra,5,"BSc_Technology Core Courses, Mathematics and Technology",Campus Lyngby,"01005,  , first half of 01005. in particular,the following subjects: Matrix and Matrix Algebra, Determinants,Vector Spaces, Linear Transformations, Eigenvalues andEigenvectors, Similarity and Diagonalization, and SymmetricMatrices.",Jakob Lemvig,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01020
9,01025,"Advanced Mathematics 2 for Mathematics and
Technology",Matematik 2 for Matematik og Teknologi,5,"BSc_Offered as a single course_Technology Core Courses, Physics and Nanotechnology_Technology Core Courses, Mathematics and Technology",Campus Lyngby,"01005,  , Linear algebra, Vector spaces,Eigenvalue problems, Systems of linear differential equations,Complex numbers and the complex exponential function, Taylorexpansions, Limits, Continuity,Differentiability",Peter Røgen,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01025
10,01034,Advanced Engineering Mathematics 2,Matematik 2,5,"BSc_Offered as a single course_Basic Natural Science Courses, Biotechnology_Basic Natural Science Courses, Civil Engineering_Basic Natural Science Courses, Architectural Engineering_Basic Natural Science Courses, Cybertechnology_Basic Natural Science Courses, Earth and Space Physics and Engineering_Basic Natural Science Courses, Medicine and Technology_Basic Natural Science Courses, Environmental Engineering_Basic Natural Science Courses, Mechanical Engineering_Basic Natural Science Courses, Human Life Science Engineering_Technology Core Courses, Electrical Engineering_Technology Core Courses, Physics and Nanotechnology_Technology Core Courses, Quantitative Biology and Disease Modelling",Campus Lyngby,"01005,01006,01015,01016,01901,01920, /,/,/,/(,.­,) , Advanced Engineering Mathematics   1 (01005/​​01006/​​01015/​​01016) or Calculus and Algebra 1 and   2 (01901.01920). Knowledge of complex numbers, matrix   calculations, eigenvalues and eigenvectors for matrices, and   linear differential equations.",Poul Georg Hjorth,01 Department of Applied Mathematics and Computer Science,https://kurser.dtu.dk/course/01034
